rollout/success rate,train/critic_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total timesteps,train/actor_loss,train/n_updates,train/learning_rate
0.0,20.765027490615843,6157.04,633,10588,1555,-9604.29702854,6703837,179.20508129882813,6543674,0.001
0.0,,6145.8,632,10596,1556,-9602.10568233,6704314,,,
0.0,19.668949027061462,6151.22,631,10614,1557,-9603.116493489999,6705433,178.9794549560547,6544674,0.001
0.0,21.324949514389036,6153.88,631,10627,1558,-9603.34854275,6705899,179.05341799926757,6545674,0.001
0.0,,6057.64,630,10633,1559,-9310.32121572,6706275,,,
0.0,19.46589780330658,6057.64,622,10786,1560,-9120.152522370001,6716275,179.6634041442871,6555674,0.001
0.0,,5960.95,622,10793,1561,-9054.68878058,6716606,,,
0.0,19.99310753917694,5973.39,620,10823,1562,-9057.05230359,6718465,179.85403161621093,6557674,0.001
0.0,19.92160514450073,6065.75,612,10980,1563,-9704.65447313,6728465,180.94634561157227,6567674,0.001
0.0,20.51087768650055,6113.43,608,11064,1564,-9723.07252948,6733739,181.33054055786133,6573674,0.001
0.0,21.18675356197357,6113.43,600,11227,1565,-10479.739120170001,6743739,184.63462133789062,6583674,0.001
0.0,21.798726663589477,6025.21,599,11246,1566,-10434.742646229999,6744917,185.72439163208008,6584674,0.001
0.0,20.518458340644838,6025.94,598,11263,1567,-10416.692382570001,6745860,185.71680114746093,6585674,0.001
0.0,,6014.33,598,11268,1568,-10415.8511898,6746084,,,
0.0,,5976.53,598,11274,1569,-10404.01336167,6746349,,,
0.0,22.623470859527586,5884.03,597,11289,1570,-10366.0048874,6747099,185.76406887817382,6586674,0.001
0.0,21.020442914962768,5809.03,595,11330,1571,-10536.047646230001,6749599,186.77230792236327,6588674,0.001
0.0,20.538509130477905,5904.74,588,11477,1572,-10571.717004780001,6759599,180.51448733520508,6598674,0.001
0.0,21.684653409957885,5811.44,588,11492,1573,-10435.78115904,6760269,180.4434545288086,6599674,0.001
0.0,21.004704901695252,5811.44,581,11638,1574,-10450.2748012,6770269,182.5243868408203,6609674,0.001
0.0,20.713722491264342,5720.16,580,11654,1575,-10413.14512569,6771141,182.36951263427736,6610674,0.001
0.0,,5624.71,580,11662,1576,-9436.36168267,6771596,,,
0.0,21.56224368572235,5531.12,580,11676,1577,-9395.69926921,6772237,182.48318035888673,6611674,0.001
0.0,22.557103075027467,5445.61,578,11703,1578,-9311.18856059,6773686,182.79063858032225,6613674,0.001
0.0,20.0250276594162,5445.61,572,11849,1579,-8992.02338365,6783686,181.73673434448241,6623674,0.001
0.0,,5397.95,572,11855,1580,-8878.144994139999,6783923,,,
0.0,,5301.45,571,11861,1581,-8460.411380529998,6784273,,,
0.0,,5204.58,571,11867,1582,-8398.19664446,6784586,,,
0.0,21.598373469352723,5118.47,570,11893,1583,-8070.703994120001,6785975,181.4397950439453,6625674,0.001
0.0,23.723332772254945,5028.84,569,11911,1584,-8022.17349817,6787012,181.53103549194336,6626674,0.001
0.0,19.463072662353515,5028.84,563,12058,1585,-7952.3585206,6797012,179.92261813354492,6636674,0.001
0.0,,4934.34,563,12066,1586,-7902.96385458,6797562,,,
0.0,21.267515034675597,4840.47,562,12080,1587,-7811.78938588,6798175,179.85774472045898,6637674,0.001
0.0,,4743.67,562,12086,1588,-7780.453960610001,6798495,,,
0.0,20.347311986923216,4666.76,560,12126,1589,-7711.734104780001,6800804,179.7205296936035,6640674,0.001
0.0,21.54849265384674,4666.76,554,12272,1590,-7747.036134190002,6810804,179.88850448608397,6650674,0.001
0.0,22.141114042282105,4681.34,553,12304,1591,-7750.673597339999,6812783,180.33104074096678,6652674,0.001
0.0,,4603.84,553,12308,1592,-7205.355667970001,6812890,,,
0.0,,4506.79,553,12314,1593,-7105.39605698,6813185,,,
0.0,,4487.09,553,12320,1594,-7097.10467024,6813451,,,
0.0,24.29569398880005,4470.02,552,12331,1595,-7091.7112072400005,6813787,179.95409646606444,6653674,0.001
0.0,24.031934414863585,4470.02,546,12477,1596,-6588.753298709999,6823787,180.3568643798828,6663674,0.001
0.0,,4454.03,546,12484,1597,-6584.3759470899995,6824148,,,
0.0,24.089080390930175,4549.53,540,12639,1598,-7086.001172619999,6834148,180.98431484985352,6673674,0.001
0.0,24.85694562149048,4647.68,535,12787,1599,-7219.553442079999,6844148,181.98195251464844,6683674,0.001
0.0,27.41719068431854,4593.46,532,12858,1600,-7229.260806689999,6848726,182.04140579223633,6688674,0.001
0.0,22.311596806526182,4593.46,526,13021,1601,-7948.74488611,6858726,185.23740298461914,6698674,0.001
0.0,,4496.54,526,13027,1602,-7842.505239239999,6859034,,,
0.0,20.49311571121216,4473.24,522,13145,1603,-7823.327069620002,6866704,186.45726092529296,6706674,0.001
0.0,19.539297610282897,4571.83,517,13295,1604,-7876.5924030900005,6876704,184.4692646484375,6716674,0.001
0.0,19.920680879592897,4492.13,516,13327,1605,-7840.3222144400015,6878734,183.74228924560546,6718674,0.001
0.0,,4451.21,515,13333,1606,-7826.928360310001,6878979,,,
0.0,,4353.68,515,13338,1607,-7782.87456715,6879226,,,
0.0,19.5149254655838,4355.65,514,13382,1608,-7777.549478600001,6881870,184.37949133300782,6721674,0.001
0.0,,4348.92,514,13387,1609,-7774.162105970001,6882061,,,
0.0,,4253.92,513,13395,1610,-7739.386014830001,6882561,,,
0.0,20.961915056228637,4305.55,510,13502,1611,-7919.77188543,6889525,184.6661964111328,6728674,0.001
0.0,20.22155542564392,4309.04,509,13515,1612,-7921.21719721,6890012,184.5882184753418,6729674,0.001
0.0,20.57180048274994,4279.94,509,13529,1613,-7928.9777213,6890682,184.56320004272462,6730674,0.001
0.0,18.935806143760683,4365.09,504,13679,1614,-7959.810685449999,6900682,183.80551693725585,6740674,0.001
0.0,,4271.49,504,13689,1615,-7037.95229166,6901322,,,
0.0,18.80777429294586,4175.27,503,13701,1616,-7001.489498740001,6901700,183.8969590148926,6741674,0.001
0.0,18.566734731674195,4088.1,503,13722,1617,-6932.579198060001,6902983,183.35000268554688,6742674,0.001
0.0,18.914906955718994,4077.43,502,13752,1618,-6928.164070040001,6904738,183.1594429626465,6744674,0.001
0.0,18.560711833000184,4066.42,497,13891,1619,-7408.4157600200015,6913637,184.42173342895506,6752674,0.001
0.0,18.52770288658142,4119.59,493,14041,1620,-7419.033439300002,6923637,183.35666647338869,6762674,0.001
0.0,18.07952893257141,4119.59,488,14192,1621,-7349.405662320001,6933637,183.0337785949707,6772674,0.001
0.0,18.892440576553344,4119.59,484,14342,1622,-7331.47200132,6943637,182.40473822021485,6782674,0.001
0.0,18.75957182312012,4125.19,483,14358,1623,-7332.002668980001,6944517,182.27461846923828,6783674,0.001
0.0,19.047811460494994,4037.94,482,14383,1624,-7282.48920785,6945792,182.14707192993163,6785674,0.001
0.0,18.811359439849852,4037.94,478,14539,1625,-7725.19567727,6955792,182.58188720703126,6795674,0.001
0.0,19.522933237075804,4137.32,474,14688,1626,-7763.3482704100015,6965792,184.14959616088868,6805674,0.001
0.0,20.0456283826828,4137.32,470,14836,1627,-7675.555603540002,6975792,184.13212283325194,6815674,0.001
0.0,20.852790420532227,4056.55,469,14868,1628,-7655.7747771800005,6977715,184.08442932128906,6817674,0.001
0.0,20.23125544166565,4151.23,465,15019,1629,-7693.8033166800005,6987715,183.72940402221678,6827674,0.001
0.0,20.440866490364076,4248.0,461,15172,1630,-7872.543615560001,6997715,183.6935263671875,6837674,0.001
0.0,,4242.43,461,15180,1631,-7821.92651951,6998221,,,
0.0,19.991645018577575,4242.43,457,15326,1632,-7822.588191749999,7008221,183.02633538818358,6847674,0.001
0.0,19.76267382335663,4231.99,453,15457,1633,-7768.621354299999,7017177,183.96464321899413,6856674,0.001
0.0,18.871133984565734,4139.33,453,15472,1634,-7666.431425079999,7017911,183.95141488647462,6857674,0.001
0.0,19.361042184829714,4139.33,449,15623,1635,-7607.57985734,7027911,184.51419323730468,6867674,0.001
0.0,19.398388906478882,4188.3,447,15726,1636,-7745.15215704,7034723,183.40035568237306,6874674,0.001
0.0,19.190876649856566,4260.05,443,15877,1637,-7749.103941029999,7044723,183.54932763671874,6884674,0.001
0.0,19.089793674468993,4260.05,440,16024,1638,-7701.77799984,7054723,183.9561611022949,6894674,0.001
0.0,18.842860447883606,4300.1,436,16171,1639,-7729.287279039999,7064723,182.02805545043947,6904674,0.001
0.0,18.822556520462037,4346.64,433,16322,1640,-7742.152937279999,7074723,182.4810249633789,6914674,0.001
0.0,,4344.64,433,16327,1641,-7739.920556909999,7074938,,,
0.0,19.48095484161377,4349.23,432,16343,1642,-7742.68193735,7075740,182.23744052124025,6915674,0.001
0.0,,4351.32,432,16352,1643,-7744.881610539999,7076361,,,
0.0,19.242177500724793,4263.57,432,16372,1644,-7609.708028489999,7077586,182.6559817199707,6916674,0.001
0.0,,4164.39,432,16376,1645,-6977.778489489999,7077668,,,
0.0,18.47821905899048,4069.08,431,16388,1646,-6820.445571909999,7078137,182.48875476074218,6917674,0.001
0.0,18.183732637405395,4007.29,430,16450,1647,-6590.81918237,7081958,182.66813967895507,6921674,0.001
0.0,,3973.37,430,16456,1648,-6581.02881374,7082318,,,
0.0,,3969.28,430,16461,1649,-6577.9126208100015,7082506,,,
0.0,17.84199707698822,4056.3,427,16609,1650,-6767.139372369999,7092506,182.49206729125976,6931674,0.001
0.0,16.77988146686554,4071.65,424,16705,1651,-6768.43397778,7098718,181.55493298339843,6938674,0.001
0.0,16.953174942016602,4117.02,422,16825,1652,-6761.744011619999,7106841,179.7516824645996,6946674,0.001
0.0,,4119.14,422,16834,1653,-6748.83183653,7107465,,,
0.0,18.20433156013489,4061.29,421,16846,1654,-6703.93020752,7107946,179.55023236083986,6947674,0.001
0.0,16.073623371124267,4141.09,418,16993,1655,-6723.640457060001,7117946,178.43081069946288,6957674,0.001
0.0,,4142.54,418,17002,1656,-6722.495122539999,7118568,,,
0.0,17.213894125938417,4136.23,418,17014,1657,-6729.944452749998,7119056,179.03649368286133,6958674,0.001
0.0,16.398725237846374,4231.57,415,17160,1658,-6808.9352432999995,7129056,178.88234973144532,6968674,0.001
0.0,17.028599036216736,4327.81,412,17307,1659,-6857.109635729999,7139056,177.7579046020508,6978674,0.001
0.0,15.277279609680177,4327.81,409,17453,1660,-6696.052108599999,7149056,178.33368395996095,6988674,0.001
0.0,15.929018107414246,4363.14,408,17512,1661,-6710.776440329999,7152920,177.70414505004882,6992674,0.001
0.0,,4346.86,408,17518,1662,-6707.13201333,7153151,,,
0.0,,4250.77,408,17524,1663,-6059.746703819998,7153542,,,
0.0,15.15357230091095,4298.03,405,17670,1664,-6078.28139798,7163542,175.39546240234375,7002674,0.001
0.0,16.286858761787414,4201.0,405,17681,1665,-5141.1910091,7163839,176.1455499267578,7003674,0.001
0.0,15.595700161933898,4289.22,402,17828,1666,-5170.19218724,7173839,174.3033290710449,7013674,0.001
0.0,,4283.88,402,17835,1667,-5168.19163364,7174248,,,
0.0,,4284.13,402,17840,1668,-5167.41539906,7174497,,,
0.0,16.47040327644348,4286.24,401,17853,1669,-5169.00000978,7174973,174.52643981933593,7014674,0.001
0.0,15.24061912727356,4378.74,399,17999,1670,-5234.973684209999,7184973,172.85136810302734,7024674,0.001
0.0,15.426006989479065,4453.74,396,18145,1671,-5053.534542109999,7194973,172.11017544555665,7034674,0.001
0.0,14.983716061592101,4377.38,395,18180,1672,-5018.904269929999,7197337,171.99204122924806,7036674,0.001
0.0,,4373.07,395,18186,1673,-5017.07245814,7197576,,,
0.0,14.951703125953674,4275.16,395,18195,1674,-4957.232814409999,7197785,171.2364372253418,7037674,0.001
0.0,14.7529863615036,4366.44,392,18341,1675,-5031.36733275,7207785,165.35311120605468,7047674,0.001
0.0,14.601785471916198,4461.89,390,18492,1676,-5310.776997499999,7217785,164.04129391479492,7057674,0.001
0.0,15.48245510673523,4555.48,387,18638,1677,-5381.533032669999,7227785,164.52067471313475,7067674,0.001
0.0,15.139197383880616,4640.99,385,18785,1678,-5417.497094339999,7237785,163.44669467163087,7077674,0.001
0.0,,4543.93,385,18791,1679,-5381.770365579999,7238079,,,
0.0,,4543.36,385,18796,1680,-5370.21683018,7238259,,,
