train/n_updates,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,time/fps,rollout/success rate,train/actor_loss,rollout/ep_len_mean,train/learning_rate,time/total timesteps
4474674,9625,1220,-19973.16656243,162.48302964019774,481,0.0,448.6364772338867,6534.45,0.001,4635040
4484674,9773,1221,-20064.15602503,160.46601222991944,475,0.0,443.7252666625977,6594.45,0.001,4645040
4494674,9926,1222,-20305.09563192,163.30897661590575,468,0.0,440.1157523803711,6654.45,0.001,4655040
4495674,9942,1223,-20002.81910691,164.20461556243896,468,0.0,441.2772212524414,6621.84,0.001,4655779
4502674,10048,1224,-19695.61710624,155.67806129455568,464,0.0,437.2730085449219,6654.45,0.001,4663040
4512674,10198,1225,-19786.618905110005,155.0706852722168,458,0.0,434.0508515625,6723.66,0.001,4673040
4522674,10345,1226,-19687.58399688,147.69963525390625,452,0.0,431.2840573120117,6783.66,0.001,4683040
,10349,1227,-19243.063885960004,,452,0.0,,6684.59,,4683133
4532674,10496,1228,-19306.327513990003,144.43994094085693,447,0.0,427.43081451416015,6771.78,0.001,4693133
4542674,10643,1229,-18726.33043923,156.49327169799804,441,0.0,422.0966589355469,6771.78,0.001,4703133
4543674,10661,1230,-18510.616312010003,157.55413261413574,441,0.0,422.07581536865234,6682.68,0.001,4704223
4553674,10809,1231,-18669.027748100005,147.0754638900757,436,0.0,416.63397119140626,6778.0,0.001,4714223
4563674,10956,1232,-17914.67230175,149.99789925384522,431,0.0,413.4715489501953,6778.0,0.001,4724223
4573674,11103,1233,-17618.298222280002,138.42911750793456,426,0.0,407.6910523071289,6783.62,0.001,4734223
4583674,11256,1234,-17243.319658890003,142.1999888381958,421,0.0,405.37191101074217,6783.62,0.001,4744223
4586674,11302,1235,-16990.70235914,139.68362425994874,419,0.0,404.26475048828127,6735.24,0.001,4747247
4588674,11336,1236,-16531.257854229996,140.52708353424072,418,0.0,404.1893579711914,6657.26,0.001,4749449
4592674,11391,1237,-16136.865842219999,127.01098846435546,417,0.0,402.1036723022461,6591.34,0.001,4752857
4601674,11526,1238,-16197.194295869998,131.5779688796997,413,0.0,399.0616741943359,6672.24,0.001,4762117
4610674,11660,1239,-16145.154235970002,136.50007915496826,409,0.0,395.6040606689453,6710.2,0.001,4770952
4620674,11808,1240,-15562.274006200001,120.64920955657959,404,0.0,391.4209545288086,6710.2,0.001,4780952
4628674,11929,1241,-15296.295159129999,117.66291146850585,401,0.0,386.7952825317383,6703.28,0.001,4789189
4636674,12044,1242,-15191.9170861,130.15122821044923,398,0.0,383.6840680541992,6679.57,0.001,4796818
4646674,12192,1243,-14987.045804599999,117.03943112945556,394,0.0,380.0449614868164,6727.91,0.001,4806818
,12199,1244,-14705.657956320001,,394,0.0,,6631.81,,4807208
4655674,12330,1245,-14517.204483530002,116.90866599273681,390,0.0,377.2908779296875,6618.47,0.001,4815874
4665674,12478,1246,-14583.087072420001,119.02709978485107,386,0.0,372.85452490234377,6646.3,0.001,4825874
,12487,1247,-14491.997253220003,,386,0.0,,6552.45,,4826489
4666674,12499,1248,-14458.197059240001,117.88669402313232,386,0.0,372.52039495849607,6534.62,0.001,4826922
,12508,1249,-14317.182341320002,,385,0.0,,6468.66,,4827578
4676674,12655,1250,-14259.72186055,104.77489653015137,382,0.0,366.5634667358398,6468.66,0.001,4837578
4686674,12802,1251,-13979.556605850003,106.30296845245361,378,0.0,359.66715625,6513.11,0.001,4847578
4696674,12950,1252,-13735.826323260002,103.88091173553467,375,0.0,357.64887432861326,6554.27,0.001,4857578
4706674,13092,1253,-13896.38292326,96.82378424072266,371,0.0,352.0840559692383,6631.66,0.001,4866888
4716674,13251,1254,-14143.58160056,92.04574760437012,368,0.0,349.3325108642578,6631.66,0.001,4876888
4726674,13397,1255,-14194.73563722,98.94101573181152,364,0.0,344.7506323852539,6727.43,0.001,4886888
4736674,13544,1256,-13651.391813170001,94.41660828399658,361,0.0,340.2801828613281,6727.43,0.001,4896888
4740674,13607,1257,-13478.943029389999,91.21283120727539,360,0.0,338.67698333740236,6740.24,0.001,4901097
4741674,13621,1258,-13476.848229449999,89.07517418670655,359,0.0,338.1844955444336,6723.55,0.001,4901778
