time/episodes,time/total timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success rate,time/time_elapsed,time/fps,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
620,2222332,3553.74,-18017.388558360002,0.0,5165,430,2062270,0.001,692.317815826416,546.5524700622559
621,2226332,3553.74,-17950.99797235,0.0,5209,427,2062332,0.001,677.4330779044859,547.2373578471522
622,2230332,3553.74,-17737.39755915,0.0,5300,420,2066332,0.001,695.9516554412842,545.7696845092773
623,2234332,3553.74,-17783.13976017,0.0,5391,414,2070332,0.001,698.2446028442383,544.9865661315918
624,2238332,3553.74,-17930.11149192,0.0,5484,408,2074332,0.001,693.5157109680176,544.7846486206055
625,2242332,3553.74,-18259.78630706,0.0,5582,401,2078332,0.001,674.2986402587891,542.303302368164
626,2243349,3523.91,-17881.334091959998,0.0,5645,397,2082332,0.001,690.5938071594238,543.0304783325196
627,2246568,3541.96,-18057.738900570002,0.0,5693,394,2083349,0.001,685.1646303610113,542.1361735186239
628,2250568,3541.96,-18082.49088053,0.0,5775,389,2086568,0.001,684.9488627589908,542.7108037913068
629,2254568,3541.96,-18102.68826167,0.0,5876,383,2090568,0.001,685.7968119049073,542.234432800293
630,2258568,3580.11,-18152.488182049998,0.0,5967,378,2094568,0.001,670.293490158081,540.900799987793
631,2259952,3553.95,-17854.780685659996,0.0,6033,374,2098568,0.001,690.3690754241943,539.5659441833496
632,2263952,3553.95,-17705.62448193,0.0,6093,371,2099952,0.001,684.7383424615584,539.5531255468468
633,2267952,3553.95,-17758.49808221,0.0,6188,366,2103952,0.001,689.9834011993408,539.5457252197266
634,2271952,3553.95,-17882.66778104,0.0,6282,361,2107952,0.001,691.5857293548584,540.1666970214844
635,2275952,3553.95,-18017.90748215,0.0,6379,356,2111952,0.001,697.0174431915283,538.9037624206543
636,2279952,3553.95,-17854.06266753,0.0,6470,352,2115952,0.001,696.513252822876,539.986619934082
637,2283952,3553.95,-17531.704002630002,0.0,6561,348,2119952,0.001,687.9051231079102,539.6045760498047
638,2287952,3581.07,-17532.58376918,0.0,6652,343,2123952,0.001,680.6070155792237,536.6055774536133
639,2291952,3581.07,-17247.460370729998,0.0,6744,339,2127952,0.001,692.8410277709961,537.0505834960937
640,2295952,3581.07,-17351.78544707,0.0,6838,335,2131952,0.001,686.1787345275878,536.1096784667968
641,2299952,3581.07,-17367.728452460004,0.0,6931,331,2135952,0.001,702.315612121582,536.7201944885254
642,2303952,3581.07,-17507.77974853,0.0,7029,327,2139952,0.001,692.4254849853515,537.5021959533691
643,2307952,3581.07,-17380.98052531,0.0,7123,323,2143952,0.001,684.6622704620361,536.9484702758789
644,2311952,3581.07,-17123.54033965,0.0,7215,320,2147952,0.001,702.3634618530274,538.3009447631836
645,2315952,3581.07,-17173.02387305,0.0,7309,316,2151952,0.001,677.3567938995361,537.6373011169434
646,2319952,3581.07,-17338.321636899997,0.0,7407,313,2155952,0.001,694.6555200805664,536.3145294799805
647,2323952,3581.07,-17368.944212079998,0.0,7502,309,2159952,0.001,688.2632822418213,535.9210699462891
648,2326696,3568.51,-17234.839702269997,0.0,7583,306,2163952,0.001,679.9164479827881,534.7378532104492
649,2330696,3568.51,-17244.851086259998,0.0,7665,304,2166696,0.001,692.6234640449546,532.2891751837104
650,2332975,3582.8,-17366.77864513,0.0,7741,301,2170696,0.001,691.7113571166992,534.193658416748
651,2336975,3582.8,-17351.553422369998,0.0,7815,299,2172975,0.001,694.947435687853,534.0025102114656
652,2340975,3582.8,-17407.94001399,0.0,7907,296,2176975,0.001,716.584469833374,532.7930018920898
653,2344975,3582.8,-17368.46157576,0.0,7999,293,2180975,0.001,708.9814557647705,534.4885166931152
654,2348975,3582.8,-17272.558528399997,0.0,8091,290,2184975,0.001,692.8687313079834,534.8584225463867
655,2349874,3551.79,-17219.49929996,0.0,8153,288,2188975,0.001,699.849001739502,534.9600598754882
656,2353874,3551.79,-16850.31708955,0.0,8205,286,2189874,0.001,669.0616670975563,534.612727186415
657,2357874,3551.79,-16961.95619976,0.0,8300,284,2193874,0.001,678.6546719665528,533.7600373229981
658,2361874,3551.79,-16927.5221704,0.0,8393,281,2197874,0.001,681.8622309570312,534.3298001098633
659,2365874,3551.79,-16809.56504006,0.0,8486,278,2201874,0.001,698.8997312164306,533.3923063964844
660,2369874,3551.79,-16713.2322098,0.0,8576,276,2205874,0.001,672.5979074401855,533.3396450805664
