train/critic_loss,train/learning_rate,time/fps,time/total timesteps,time/episodes,rollout/success rate,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
4843.678200683594,0.001,980,4290000,429,0.0,11133674,-5438.859090820312,652269.20701496,4373,10000.0
4881.962223876953,0.001,950,4300000,430,0.0,11143674,-5547.5254375,662471.78212431,4521,10000.0
4772.320336669922,0.001,923,4310000,431,0.0,11153674,-5638.611475585937,672462.2026403699,4669,10000.0
4804.55048828125,0.001,896,4320000,432,0.0,11163674,-5751.62567578125,682015.7298753699,4817,10000.0
4768.502070800781,0.001,872,4330000,433,0.0,11173674,-5869.357698242187,692720.8289791399,4965,10000.0
4819.641677246093,0.001,848,4340000,434,0.0,11183674,-5915.351680664063,694867.85761906,5114,10000.0
5060.196948730469,0.001,826,4350000,435,0.0,11193674,-5979.647780273437,705457.0730240999,5263,10000.0
5306.866262451172,0.001,805,4360000,436,0.0,11203674,-5961.096421875,705162.40107963,5410,10000.0
5076.148416015625,0.001,786,4370000,437,0.0,11213674,-6050.967494140625,716041.30424352,5558,10000.0
5067.326119384766,0.001,767,4380000,438,0.0,11223674,-6073.710951171875,721073.1516691701,5706,10000.0
4909.777389160156,0.001,749,4390000,439,0.0,11233674,-6139.9522109375,729042.2430852703,5854,10000.0
5195.177868896484,0.001,732,4400000,440,0.0,11243674,-6222.1675,737364.41218839,6004,10000.0
5069.610499267578,0.001,716,4410000,441,0.0,11253674,-6248.118790039062,736840.22721089,6152,10000.0
5112.559028808594,0.001,701,4420000,442,0.0,11263674,-6272.408272460938,736609.78105617,6300,10000.0
5273.182897949218,0.001,686,4430000,443,0.0,11273674,-6228.22933203125,741716.6942741999,6448,10000.0
5477.56909375,0.001,673,4440000,444,0.0,11283674,-6250.43751171875,742206.3232629499,6596,10000.0
5371.720534667968,0.001,659,4450000,445,0.0,11293674,-6363.045890625,750603.6502872999,6744,10000.0
5274.662668457031,0.001,647,4460000,446,0.0,11303674,-6375.951736328125,751061.3402688201,6891,10000.0
5398.992931396484,0.001,634,4470000,447,0.0,11313674,-6398.7593662109375,751328.03962602,7039,10000.0
5402.043477050781,0.001,623,4480000,448,0.0,11323674,-6352.312876953125,744619.07011438,7190,10000.0
4985.1862512207035,0.001,611,4490000,449,0.0,11333674,-6353.260094726563,744192.4390735999,7338,10000.0
4925.770343994141,0.001,601,4500000,450,0.0,11343674,-6311.687696289063,738688.44994362,7487,10000.0
4854.997511474609,0.001,590,4510000,451,0.0,11353674,-6358.690948242188,740807.7290038499,7635,10000.0
5032.723526855469,0.001,580,4520000,452,0.0,11363674,-6382.157771484375,741840.84198832,7783,10000.0
5013.955493164062,0.001,571,4530000,453,0.0,11373674,-6408.954603515625,743991.7144974599,7932,10000.0
4972.4176862792965,0.001,561,4540000,454,0.0,11383674,-6401.293520507813,745277.4604785001,8080,10000.0
4915.588570556641,0.001,551,4550000,455,0.0,11393674,-6298.760458007812,734608.99449441,8243,10000.0
5257.722582519531,0.001,543,4560000,456,0.0,11403674,-6241.596850585937,731433.7357905501,8393,10000.0
5227.959463134765,0.001,535,4570000,457,0.0,11413674,-6239.435120117188,733372.0861177901,8541,10000.0
