time/total timesteps,rollout/ep_len_mean,time/fps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/success rate,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
1190000,10000.0,99,119,11953,-3900.83483387,0.0,924.6945643920899,0.001,8033674,376.31160131835935
1200000,10000.0,99,120,12099,-3873.0327362400003,0.0,938.6198461914063,0.001,8043674,380.98704852294924
1210000,10000.0,98,121,12244,-1269.7555673399993,0.0,1052.2386212768554,0.001,8053674,368.6173918762207
1220000,10000.0,98,122,12389,-340.2749604000003,0.0,1071.5024112854003,0.001,8063674,374.1674282836914
1230000,10000.0,98,123,12544,-793.4580609299996,0.0,1121.513283843994,0.001,8073674,385.5444779052734
1240000,10000.0,97,124,12699,-1397.1804822799995,0.0,1076.6269766540527,0.001,8083674,397.4464137573242
1250000,10000.0,97,125,12869,-2261.55890206,0.0,1100.9593096313477,0.001,8093674,411.5601719970703
1260000,10000.0,96,126,13018,-2458.8406005500024,0.0,1162.4890684509278,0.001,8103674,421.0508001708984
1270000,10000.0,96,127,13177,-3226.2488076500013,0.0,1263.7893112487793,0.001,8113674,437.97457775878905
1280000,10000.0,96,128,13324,-3343.9000344400015,0.0,1508.4910931396485,0.001,8123674,452.527642578125
1290000,10000.0,95,129,13468,-3254.603305030001,0.0,1760.0094448547363,0.001,8133674,469.06136614990237
1300000,10000.0,95,130,13612,-3165.4372836900025,0.0,1897.867957977295,0.001,8143674,495.0758023071289
1310000,10000.0,95,131,13756,-3054.5609388700013,0.0,1846.9879083862304,0.001,8153674,511.87765966796877
1320000,10000.0,94,132,13901,-2981.946186770001,0.0,1641.4679545898437,0.001,8163674,534.0373731079102
1330000,10000.0,94,133,14046,-2852.730869950001,0.0,1559.0176906738282,0.001,8173674,535.1527529296875
1340000,10000.0,94,134,14190,-2637.963833290001,0.0,1638.8928222961426,0.001,8183674,539.4107426147461
1350000,10000.0,94,135,14349,-3549.269383090001,0.0,1622.1427373657227,0.001,8193674,559.1385268554687
1360000,10000.0,93,136,14509,-4490.537555050001,0.0,1628.759233215332,0.001,8203674,584.7688757324219
1370000,10000.0,93,137,14653,-1906.0374121300015,0.0,1690.7409396362305,0.001,8213674,579.6813564453125
1380000,10000.0,93,138,14798,-1855.077523030001,0.0,1519.28328616333,0.001,8223674,570.1376934204102
1390000,10000.0,93,139,14943,-1748.0261072500025,0.0,1429.248425140381,0.001,8233674,559.2782294921875
1400000,10000.0,92,140,15091,1563.1669291799983,0.0,1448.640089904785,0.001,8243674,542.9994220581054
1410000,10000.0,92,141,15236,11147.99344017,0.0,1665.6927861938477,0.001,8253674,498.57571429443357
1420000,10000.0,92,142,15381,20183.45336832,0.0,1796.3492401123046,0.001,8263674,471.1649487304687
1430000,10000.0,92,143,15525,20349.366994459997,0.0,1582.9772578125,0.001,8273674,451.42254895019533
1440000,10000.0,91,144,15670,20468.81332896,0.0,1492.3439565429687,0.001,8283674,423.2288592529297
1450000,10000.0,91,145,15815,20608.23060776,0.0,1504.335616333008,0.001,8293674,398.2410514831543
1460000,10000.0,91,146,15959,20661.244783889997,0.0,1459.9409961547851,0.001,8303674,372.26505181884767
1470000,10000.0,91,147,16103,20684.690970839998,0.0,1613.004629638672,0.001,8313674,345.68596643066405
1480000,10000.0,91,148,16248,20727.00076751,0.0,1581.81148828125,0.001,8323674,335.4109707946777
1490000,10000.0,90,149,16393,26091.415828469995,0.0,2223.441588256836,0.001,8333674,315.4647776794434
1500000,10000.0,90,150,16538,26225.436467729996,0.0,1873.6718280029297,0.001,8343674,314.64021908569333
1510000,10000.0,90,151,16692,25830.49871557,0.0,1647.8243698730469,0.001,8353674,307.471184387207
1520000,10000.0,90,152,16836,26869.50694046,0.0,1684.7388773193359,0.001,8363674,295.979150100708
1530000,10000.0,90,153,16981,26976.932054060002,0.0,1641.5824108886718,0.001,8373674,289.19979470825194
1540000,10000.0,89,154,17125,27129.287795290005,0.0,1794.7550943603514,0.001,8383674,289.2690818786621
1550000,10000.0,89,155,17270,36816.133185440005,0.0,1963.136314453125,0.001,8393674,234.64700732421875
1560000,10000.0,89,156,17415,36849.69617378,0.0,1909.6780914306642,0.001,8403674,206.98494765472412
1570000,10000.0,89,157,17572,36268.041677780006,0.0,1753.8847250366211,0.001,8413674,174.33171266632155
1580000,10000.0,89,158,17717,36299.7005395,0.0,1936.3849420166016,0.001,8423674,142.9384820563793
1590000,10000.0,89,159,17861,37571.60450131,0.0,1874.2817716674804,0.001,8433674,119.06072228193283
1600000,10000.0,88,160,18006,37715.10858244001,0.0,1763.470302001953,0.001,8443674,103.76003503751755
1610000,10000.0,88,161,18150,37907.101561100004,0.0,1754.9783648071289,0.001,8453674,93.33541953289509
1620000,10000.0,88,162,18310,37236.30009813,0.0,1828.6351497192384,0.001,8463674,76.34797554409131
1630000,10000.0,88,163,18455,46606.072219,0.0,2296.8925722045897,0.001,8473674,40.65934874220192
1640000,10000.0,88,164,18617,46111.061277320005,0.0,2137.6648166503905,0.001,8483674,24.95244580692053
1650000,10000.0,87,165,18761,46694.94601969001,0.0,2126.794622680664,0.001,8493674,13.191184120237827
1660000,10000.0,87,166,18937,45791.97668716,0.0,2079.266240112305,0.001,8503674,17.10283672142029
1670000,10000.0,87,167,19082,45890.915838470006,0.0,2269.227522521973,0.001,8513674,9.415392994701863
1680000,10000.0,87,168,19226,46103.889854899986,0.0,2175.201330200195,0.001,8523674,0.6919868928194046
1690000,10000.0,87,169,19379,54634.84844879999,0.0,2873.141474609375,0.001,8533674,2.0413824269771577
1700000,10000.0,87,170,19530,63269.97661857999,0.0,2852.7705994873045,0.001,8543674,-7.857759822070599
1710000,10000.0,86,171,19687,62515.36350897999,0.0,2709.0390219726564,0.001,8553674,-12.748469460189343
1720000,10000.0,86,172,19846,65058.94630433999,0.0,2661.2211549072267,0.001,8563674,-39.804322881564495
1730000,10000.0,86,173,20005,65073.935227849994,0.0,2593.293729248047,0.001,8573674,-41.853297776281835
1740000,10000.0,86,174,20164,64242.123301719985,0.0,2691.8236771240236,0.001,8583674,-56.04057877610624
1750000,10000.0,86,175,20320,63643.51966297,0.0,2986.5787413330077,0.001,8593674,-94.67375801371038
1760000,10000.0,85,176,20480,68071.29357525,0.0,2979.281148071289,0.001,8603674,-87.63853384560346
1770000,10000.0,85,177,20625,68215.59561193999,0.0,3252.1755880126952,0.001,8613674,-66.58413556146621
1780000,10000.0,85,178,20769,68267.61360856,0.0,3186.6894553222655,0.001,8623674,-53.26994461387396
1790000,10000.0,85,179,20927,76724.54924960999,0.0,3432.851069824219,0.001,8633674,-77.30812568128108
1800000,10000.0,85,180,21072,76763.09654320998,0.0,3011.0904056396485,0.001,8643674,-78.88077859181166
1810000,10000.0,85,181,21217,76800.72550090999,0.0,3011.70019543457,0.001,8653674,-104.6207186422348
1820000,10000.0,85,182,21366,78420.31967884999,0.0,3232.760651855469,0.001,8663674,-123.58460213053226
1830000,10000.0,85,183,21514,78382.04462910001,0.0,3327.83779699707,0.001,8673674,-129.63787719249726
1840000,10000.0,84,184,21661,81072.89327548,0.0,3685.1948359375,0.001,8683674,-144.31196979355812
1850000,10000.0,84,185,21818,80305.33320003,0.0,3850.770399658203,0.001,8693674,-141.75519054198264
1860000,10000.0,84,186,21976,80260.46581289,0.0,4334.320401855469,0.001,8703674,-120.10737908530236
1870000,10000.0,84,187,22120,80244.51489318,0.0,4206.305446533203,0.001,8713674,-90.93791675698758
1880000,10000.0,84,188,22273,79685.25724257999,0.0,3772.40053515625,0.001,8723674,-87.31211091947556
1890000,10000.0,84,189,22427,79130.96546292999,0.0,3594.329194091797,0.001,8733674,-76.05154225125071
1900000,10000.0,84,190,22585,87963.35843276,0.0,4092.6376674804687,0.001,8743674,-110.37973701152205
1910000,10000.0,83,191,22741,89734.51120115998,0.0,4221.849729736328,0.001,8753674,-109.48372111320869
1920000,10000.0,83,192,22906,89020.50980582001,0.0,4264.580281982422,0.001,8763674,-103.33998118476569
1930000,10000.0,83,193,23064,98044.59203787001,0.0,4460.308927490234,0.001,8773674,-167.42899453115464
1940000,10000.0,83,194,23219,97297.13567250001,0.0,3906.090798339844,0.001,8783674,-182.310934984684
1950000,10000.0,83,195,23364,97287.33719367,0.0,3757.013722167969,0.001,8793674,-213.8243320851326
1960000,10000.0,83,196,23510,104908.12631817999,0.0,3994.794872314453,0.001,8803674,-251.8061131286621
1970000,10000.0,83,197,23657,105209.42698685,0.0,3922.962028808594,0.001,8813674,-277.9366596183777
1980000,10000.0,83,198,23801,106083.39038981003,0.0,3804.5802077636718,0.001,8823674,-317.6253062171936
1990000,10000.0,83,199,23960,114128.00964759002,0.0,4046.966056640625,0.001,8833674,-423.09656356811524
2000000,10000.0,82,200,24105,114281.89281343004,0.0,4043.8766130371096,0.001,8843674,-445.12349444580076
