time/fps,time/time_elapsed,time/episodes,rollout/ep_len_mean,rollout/success rate,time/total timesteps,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
148,23716,353,10000.0,0.0,3530000,506126.68704735994,0.001,5947.805236816406,-3725.0635537109374,10373674
148,23863,354,10000.0,0.0,3540000,507496.44811749,0.001,5859.279171875,-3716.4063100585936,10383674
147,24009,355,10000.0,0.0,3550000,507438.17037010996,0.001,5408.548299316406,-3759.7551528320314,10393674
147,24154,356,10000.0,0.0,3560000,508151.51324311004,0.001,5474.2584099121095,-3795.0446665039062,10403674
146,24303,357,10000.0,0.0,3570000,516625.28526851995,0.001,5842.747761230468,-3899.5218798828123,10413674
146,24487,358,10000.0,0.0,3580000,513848.18469337,0.001,5755.933224121094,-3884.8492329101564,10423674
145,24632,359,10000.0,0.0,3590000,518490.50913178007,0.001,5954.257395507812,-3918.2557890625,10433674
145,24778,360,10000.0,0.0,3600000,528916.1881820699,0.001,5858.248553710938,-4042.331856933594,10443674
144,24924,361,10000.0,0.0,3610000,534638.14279025,0.001,5767.766495117187,-4133.050038574219,10453674
144,25070,362,10000.0,0.0,3620000,545226.7660947101,0.001,5633.838489990234,-4271.912724609375,10463674
143,25217,363,10000.0,0.0,3630000,546514.1826538,0.001,6112.664626953125,-4255.07612890625,10473674
143,25362,364,10000.0,0.0,3640000,551092.2620895599,0.001,6327.4385581054685,-4264.598998046875,10483674
143,25515,365,10000.0,0.0,3650000,546130.30763499,0.001,7297.905459472656,-4128.64651171875,10493674
142,25661,366,10000.0,0.0,3660000,546521.6721012699,0.001,6927.328095214843,-4092.392232421875,10503674
142,25813,367,10000.0,0.0,3670000,541983.89216778,0.001,6431.161366699219,-4035.53623046875,10513674
141,25958,368,10000.0,0.0,3680000,552342.7904721199,0.001,6553.195188476562,-4117.465420410156,10523674
141,26104,369,10000.0,0.0,3690000,556861.1418004801,0.001,6117.847134765625,-4136.1356909179685,10533674
140,26249,370,10000.0,0.0,3700000,555726.3605110701,0.001,6245.089863769531,-4136.403011230469,10543674
140,26401,371,10000.0,0.0,3710000,552297.23600308,0.001,6815.309880859375,-4106.267307128906,10553674
140,26547,372,10000.0,0.0,3720000,552871.3628618302,0.001,7042.6884946289065,-4102.48185546875,10563674
139,26693,373,10000.0,0.0,3730000,550705.1302456401,0.001,6753.588239746094,-4056.925046875,10573674
139,26849,374,10000.0,0.0,3740000,540358.61473765,0.001,5937.412938476563,-3975.298322753906,10583674
138,26994,375,10000.0,0.0,3750000,539199.3080758301,0.001,6187.548340332031,-3904.819847167969,10593674
138,27140,376,10000.0,0.0,3760000,537324.5376400901,0.001,5890.903503417969,-3948.6505498046877,10603674
138,27286,377,10000.0,0.0,3770000,528056.01151811,0.001,5884.774494628906,-3850.4762993164063,10613674
137,27431,378,10000.0,0.0,3780000,528492.81755558,0.001,6364.278500488282,-3799.4030693359373,10623674
137,27577,379,10000.0,0.0,3790000,539311.43654505,0.001,5969.479524414062,-3906.694952636719,10633674
137,27722,380,10000.0,0.0,3800000,539409.9402694299,0.001,5533.614066894531,-3966.0635556640623,10643674
136,27869,381,10000.0,0.0,3810000,534131.40090775,0.001,5239.017096435547,-4003.148803222656,10653674
136,28019,382,10000.0,0.0,3820000,534955.8365827199,0.001,5497.962353515625,-3999.2730209960937,10663674
135,28168,383,10000.0,0.0,3830000,535068.68110241,0.001,5432.434178222657,-4046.7442661132814,10673674
135,28313,384,10000.0,0.0,3840000,545490.8163274699,0.001,5779.08495703125,-4154.841620117188,10683674
135,28460,385,10000.0,0.0,3850000,545662.63540292,0.001,6323.892164550782,-4136.995953613281,10693674
134,28604,386,10000.0,0.0,3860000,543736.18632296,0.001,7693.4808203125,-4074.845568847656,10703674
134,28750,387,10000.0,0.0,3870000,547938.91857673,0.001,7056.297599121093,-4035.50460546875,10713674
134,28895,388,10000.0,0.0,3880000,546541.0461103199,0.001,6662.765630371094,-3981.4010849609376,10723674
133,29040,389,10000.0,0.0,3890000,555397.66486761,0.001,6248.26221484375,-4071.1536840820313,10733674
133,29186,390,10000.0,0.0,3900000,565961.17806567,0.001,6033.590776367188,-4185.081237792969,10743674
133,29331,391,10000.0,0.0,3910000,576300.27772001,0.001,6041.528344970703,-4279.67548828125,10753674
132,29477,392,10000.0,0.0,3920000,586699.11268814,0.001,6040.148012695313,-4369.705059570312,10763674
132,29623,393,10000.0,0.0,3930000,588822.78772822,0.001,6192.943047363281,-4410.900417480469,10773674
132,29785,394,10000.0,0.0,3940000,587886.56137099,0.001,6238.591612304687,-4403.254562988282,10783674
131,29932,395,10000.0,0.0,3950000,598029.9393214501,0.001,6250.49919140625,-4509.613592285156,10793674
131,30080,396,10000.0,0.0,3960000,594916.7041636601,0.001,6715.655510253906,-4498.2109150390625,10803674
131,30226,397,10000.0,0.0,3970000,595025.7248191101,0.001,6779.25916796875,-4518.282317382813,10813674
131,30374,398,10000.0,0.0,3980000,593814.48210705,0.001,6128.115502929688,-4539.490872070312,10823674
130,30520,399,10000.0,0.0,3990000,590496.87395915,0.001,5546.834915527344,-4525.865392578125,10833674
130,30665,400,10000.0,0.0,4000000,590139.99719379,0.001,5291.087044433594,-4565.7851875,10843674
