rollout/ep_len_mean,time/total timesteps,time/episodes,time/fps,rollout/success rate,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
10000.0,540000,54,62,0.0,-67292.41638733333,8598,4.722751426696777,5290,60.46919631958008,0.001
10000.0,550000,55,62,0.0,-67120.07994550909,8760,5.36768593788147,5390,62.298919677734375,0.001
10000.0,560000,56,62,0.0,-66956.92672975,8922,4.885436940193176,5490,60.01077117919922,0.001
10000.0,570000,57,62,0.0,-66911.45435166667,9081,5.147085857391358,5590,64.6303596496582,0.001
10000.0,580000,58,62,0.0,-67152.47312812069,9239,5.729887199401856,5690,65.86676712036133,0.001
10000.0,590000,59,62,0.0,-67685.39073784747,9404,4.641967177391052,5790,65.13880157470703,0.001
10000.0,600000,60,62,0.0,-67959.20707073335,9565,5.854205465316772,5890,66.86487274169922,0.001
10000.0,610000,61,62,0.0,-67712.56445036066,9726,5.1218594789505,5990,66.71238250732422,0.001
10000.0,620000,62,62,0.0,-67912.5162973871,9884,8.088065671920777,6090,68.4479995727539,0.001
10000.0,630000,63,62,0.0,-68322.61082301589,10045,5.374264764785766,6190,74.33240661621093,0.001
10000.0,640000,64,62,0.0,-67928.18325357813,10205,6.531141376495361,6290,71.22100524902343,0.001
10000.0,650000,65,62,0.0,-67777.70781735385,10362,5.658083128929138,6390,72.62664794921875,0.001
10000.0,660000,66,62,0.0,-67601.97600572728,10519,5.426729393005371,6490,72.93869323730469,0.001
10000.0,670000,67,62,0.0,-67332.47338985077,10680,6.439576292037964,6590,74.65072326660156,0.001
10000.0,680000,68,62,0.0,-66807.09021652944,10837,5.889010429382324,6690,74.37330932617188,0.001
10000.0,690000,69,62,0.0,-66610.20090295654,10994,7.524733304977417,6790,75.05571899414062,0.001
10000.0,700000,70,62,0.0,-66999.02014802859,11154,6.466320061683655,6890,76.83301696777343,0.001
10000.0,710000,71,62,0.0,-66904.26394740847,11313,6.661327981948853,6990,77.59518890380859,0.001
10000.0,720000,72,62,0.0,-66600.16034597222,11472,6.402633810043335,7090,77.97144470214843,0.001
10000.0,730000,73,62,0.0,-66429.20317131508,11630,6.829391574859619,7190,73.4058624267578,0.001
10000.0,740000,74,62,0.0,-66304.53839151352,11787,5.343377923965454,7290,78.19922943115235,0.001
10000.0,750000,75,62,0.0,-66613.96671445333,11948,7.90865421295166,7390,79.58360595703125,0.001
10000.0,760000,76,62,0.0,-66455.79068377633,12104,6.47076449394226,7490,81.00204620361328,0.001
10000.0,770000,77,62,0.0,-66264.72197024677,12265,6.198045444488526,7590,80.84609985351562,0.001
10000.0,780000,78,62,0.0,-66090.47495184616,12422,6.524282646179199,7690,80.5871368408203,0.001
10000.0,790000,79,62,0.0,-65935.42007620254,12583,8.566452598571777,7790,82.35946960449219,0.001
10000.0,800000,80,62,0.0,-65860.0903294875,12742,7.442949056625366,7890,77.51521148681641,0.001
10000.0,810000,81,62,0.0,-65146.731775962966,12898,7.098846960067749,7990,80.48509216308594,0.001
10000.0,820000,82,62,0.0,-64994.56182907317,13056,5.704852962493897,8090,83.86641387939453,0.001
10000.0,830000,83,62,0.0,-64893.309285626514,13214,7.834976148605347,8190,80.33406982421874,0.001
10000.0,840000,84,62,0.0,-64749.950756154765,13371,7.7100828170776365,8290,82.33587799072265,0.001
10000.0,850000,85,62,0.0,-64746.79223752941,13531,7.57806715965271,8390,89.59374084472657,0.001
10000.0,860000,86,62,0.0,-65139.53163232558,13691,7.764570426940918,8490,90.18450469970703,0.001
