time/fps,rollout/success rate,rollout/ep_len_mean,time/time_elapsed,time/total timesteps,time/episodes,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss
46,0.0,3639.13,18262,844162,227,-25381.499124730002,680162,363.65750621795655,0.001,544.8468992004395
46,0.0,3639.13,18366,848162,228,-25649.528683490003,684162,369.09561641693114,0.001,542.9288811645508
46,0.0,3639.13,18461,852162,229,-25699.580000830003,688162,381.12369702911377,0.001,546.3263445129395
46,0.0,3617.58,18533,854007,230,-25601.809667600002,692162,375.42850100708006,0.001,546.6099771118164
46,0.0,3617.58,18605,858007,231,-25605.002472520006,694007,367.4631734543053,0.001,544.8751121405148
46,0.0,3583.94,18664,858643,232,-25328.516597020003,698007,363.75524588012695,0.001,545.2680426330567
46,0.0,3594.6,18720,862643,233,-25629.765535090002,698643,404.1051275865087,0.001,545.1853641534002
46,0.0,3594.6,18822,866643,234,-25915.239507920007,702643,394.0486085205078,0.001,547.9742430419922
45,0.0,3572.18,18892,868401,235,-25647.230263930003,706643,409.1447196731567,0.001,551.282271636963
46,0.0,3572.18,18957,872401,236,-25478.451537,708401,394.6712904963748,0.001,551.6787928037676
46,0.0,3572.18,19048,876401,237,-25110.875777269997,712401,393.71340953826905,0.001,552.4809784545898
45,0.0,3572.18,19144,880401,238,-25046.11034149,716401,378.18737272644046,0.001,550.8742051086426
45,0.0,3572.18,19238,884401,239,-24854.190457439996,720401,379.6198204574585,0.001,550.2414397888184
45,0.0,3572.18,19334,888401,240,-24880.055082479994,724401,373.9781819000244,0.001,548.2286497802735
45,0.0,3550.3,19407,890213,241,-24550.969486619997,728401,388.7948647232056,0.001,547.905072631836
45,0.0,3521.15,19444,891298,242,-24191.674040939994,730213,389.7625207122062,0.001,547.7713854791839
45,0.0,3521.15,19509,895298,243,-24204.561391059997,731298,386.21016966648364,0.001,547.2831130897142
45,0.0,3521.15,19612,899298,244,-24375.009618779997,735298,382.19289469909666,0.001,548.0550748596191
45,0.0,3559.05,19704,903298,245,-24409.47143744,739298,376.0820770645142,0.001,548.363186126709
45,0.0,3559.05,19800,907298,246,-24406.14234565,743298,387.0042621078491,0.001,548.1289939880371
45,0.0,3559.05,19892,911298,247,-24157.69122031,747298,392.079900062561,0.001,549.6532649536133
45,0.0,3559.05,19986,915298,248,-23973.295482800004,751298,389.1232491760254,0.001,550.4135273742676
45,0.0,3559.05,20079,919298,249,-23920.100868889996,755298,393.24514971923827,0.001,551.5233254699707
45,0.0,3597.32,20178,923298,250,-24272.850743139996,759298,401.8068294677734,0.001,552.8069874267578
45,0.0,3597.32,20277,927298,251,-24366.00544005,763298,402.63976207733157,0.001,556.2389978942871
45,0.0,3597.32,20371,931298,252,-24110.01665348999,767298,397.74008806610107,0.001,559.3785501098632
45,0.0,3562.66,20429,931832,253,-23733.485260809994,771298,429.936417388916,0.001,561.4867365112304
45,0.0,3562.66,20479,935832,254,-23569.946458709994,771832,399.27594005570427,0.001,562.3090248822273
45,0.0,3530.96,20540,936662,255,-23323.0844214,775832,407.09558434295656,0.001,562.7500064086914
45,0.0,3567.0,20593,940662,256,-23439.270209509996,776662,417.50906497082076,0.001,563.7115510871612
45,0.0,3546.78,20667,942640,257,-23254.900395910005,780662,402.4056124038696,0.001,563.1178113403321
45,0.0,3546.78,20744,946640,258,-23250.12530354,782640,401.8622146467589,0.001,562.2102621635846
45,0.0,3510.79,20801,947041,259,-22890.71375279,786640,397.3939641418457,0.001,563.1317182922363
45,0.0,3510.79,20851,951041,260,-22841.018255199993,787041,393.30080210241,0.001,562.0786380004882
45,0.0,3510.79,20944,955041,261,-22573.764287469996,791041,398.62003385925294,0.001,561.642277923584
45,0.0,3472.75,20999,955237,262,-22286.254137239997,795041,399.19951303100584,0.001,560.7764114379883
45,0.0,3472.75,21044,959237,263,-21964.013376329996,795237,395.9711898492307,0.001,560.4814776985013
45,0.0,3472.75,21141,963237,264,-22047.552363560004,799237,399.16203411865234,0.001,561.4611321411132
45,0.0,3472.75,21235,967237,265,-21935.281008329996,803237,411.983357421875,0.001,562.7276862487793
45,0.0,3487.78,21332,971237,266,-22132.689343439997,807237,412.82601496124266,0.001,563.2376120910644
45,0.0,3500.03,21427,975237,267,-22253.91897825,811237,409.9779206390381,0.001,564.3855283203125
45,0.0,3500.03,21524,979237,268,-22298.35884068,815237,410.68407526397704,0.001,566.1888800354004
45,0.0,3500.03,21615,983237,269,-22135.13755373,819237,401.9844880523682,0.001,567.1766039428711
45,0.0,3538.86,21709,987237,270,-22434.601833290002,823237,417.00788667297365,0.001,567.8195909729004
45,0.0,3538.86,21802,991237,271,-22397.071914160006,827237,402.6792322540283,0.001,570.3840562133789
45,0.0,3538.86,21895,995237,272,-22198.70265431,831237,406.118047744751,0.001,571.6592297668457
45,0.0,3538.86,21991,999237,273,-22189.37561777,835237,423.59071728515624,0.001,574.3498668823242
45,0.0,3538.86,22083,1003237,274,-21960.28243695,839237,413.6174836730957,0.001,574.3687296142579
45,0.0,3538.86,22178,1007237,275,-21771.05478326,843237,423.02473155975343,0.001,575.9043264160156
45,0.0,3540.84,22276,1011237,276,-21726.42185645,847237,431.8027070236206,0.001,578.312564453125
45,0.0,3540.84,22374,1015237,277,-21846.79684409,851237,429.3358072128296,0.001,581.1380506591797
45,0.0,3540.84,22470,1019237,278,-21872.94960721,855237,430.7693462600708,0.001,583.1343057556153
45,0.0,3540.84,22565,1023237,279,-21790.83157398,859237,432.39195655059814,0.001,586.964748046875
45,0.0,3540.84,22657,1027237,280,-21575.035425230002,863237,426.86255344390867,0.001,588.1373271484375
45,0.0,3540.84,22750,1031237,281,-21612.045118160007,867237,437.6194917755127,0.001,589.7194897155762
45,0.0,3540.84,22841,1035237,282,-21416.102556200003,871237,434.42092418670654,0.001,591.4742257080078
45,0.0,3540.84,22935,1039237,283,-21563.013211420002,875237,429.0841082687378,0.001,592.6426545410156
